Machi,Community,Sex.1male,ID,adol.less20,mat.20to50,old.over50,EdMes,LabMes,FamMat,EmpMat,ComMes,CtyMat,Target,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14
1,T,0,160,0,1,0,0,0,1,0,1,1,1,NA,1,1,1,1,0,1,1,0,1,1,0,1,1
1,T,0,53,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
1,T,1,1,0,1,0,0,0,1,0,1,1,1,NA,1,0,NA,NA,1,0,1,NA,NA,1,NA,1,1
1,T,1,244,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
1,T,0,106,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,NA,1,1
1,T,1,83,0,1,0,1,1,1,0,1,1,1,1,1,0,NA,0,0,0,1,1,0,0,0,NA,NA
1,T,1,137,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
1,T,1,121,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1
1,T,0,124,0,1,0,0,0,1,0,1,1,1,NA,0,0,1,1,1,1,1,0,1,1,0,NA,NA
1,T,1,67,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0
1,T,1,26,0,0,1,0,1,1,0,1,1,1,NA,1,1,1,1,0,1,1,0,0,1,0,1,1
1,T,0,2,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,NA,1
1,T,0,60,0,1,0,0,0,1,0,1,1,1,NA,1,NA,1,1,0,1,0,0,NA,1,NA,0,0
1,T,1,148,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,NA,NA,1,1
1,T,1,16,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1
1,T,1,245,1,0,0,0,0,1,0,NA,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0
1,T,1,165,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1
1,T,0,79,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,NA,1
1,T,1,142,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
1,T,0,21,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
1,T,1,52,0,1,0,0,1,1,0,1,1,1,1,1,0,1,NA,1,1,1,0,NA,1,0,1,1
1,T,0,37,0,1,0,0,0,1,0,1,1,1,0,1,NA,1,1,1,1,1,0,0,1,0,1,1
1,T,1,101,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1
1,T,1,307,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,NA,1,1,1
0,A,1,284,0,1,0,1,1,1,1,1,1,2,0,1,0,0,1,1,1,1,1,1,1,0,0,1
0,A,1,285,0,1,0,1,1,0,1,1,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
0,A,1,308,0,0,1,1,NA,NA,NA,1,NA,2,1,1,0,0,0,0,0,1,1,1,1,1,0,1
0,A,0,265,0,0,1,1,1,1,0,1,0,2,1,1,1,0,0,0,1,1,1,0,0,0,1,1
0,A,0,266,0,1,0,1,1,0,1,1,0,2,0,1,1,0,0,0,0,1,0,1,1,1,1,1
0,A,1,296,0,0,1,1,1,1,0,1,0,2,1,1,0,0,0,0,1,1,1,1,0,0,1,1
0,A,0,288,0,1,0,1,1,0,1,1,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1
0,A,1,289,0,1,0,1,1,0,0,1,0,2,1,1,1,0,0,0,1,1,1,0,1,0,1,1
0,A,0,273,0,1,0,1,1,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1
0,A,0,268,0,1,0,1,1,0,1,1,0,2,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,A,0,295,0,1,0,1,1,1,0,1,1,2,0,1,1,0,0,0,1,1,1,1,1,0,1,1
0,A,0,271,0,1,0,1,1,0,1,1,0,2,1,1,0,0,0,1,1,1,1,0,1,1,0,1
0,A,0,272,0,1,0,1,1,1,1,1,1,2,1,0,1,0,0,0,1,1,0,1,0,1,1,0
0,A,1,294,0,1,0,1,1,0,0,1,0,2,0,0,1,1,0,0,1,0,1,1,1,1,1,1
0,A,1,274,0,1,0,1,1,0,0,1,0,2,0,1,1,0,0,0,0,1,1,1,0,1,1,1
0,A,1,275,0,1,0,1,1,0,1,1,0,2,0,0,1,1,0,0,0,1,1,0,1,1,1,1
0,A,1,277,0,0,1,1,1,0,1,1,0,2,0,1,1,1,0,0,0,1,1,0,1,1,1,1
1,A,1,297,0,1,0,1,1,1,0,1,1,2,0,1,0,1,0,0,1,0,0,1,1,0,1,0
0,A,0,298,0,1,0,1,1,0,1,1,0,2,0,1,1,0,0,0,0,1,1,1,1,0,1,1
0,A,0,299,0,1,0,1,1,1,1,1,0,2,0,1,0,0,0,0,1,1,1,0,0,0,1,1
0,A,0,278,0,1,0,1,1,0,1,1,0,2,0,0,1,0,0,0,0,1,1,0,1,1,1,1
0,A,0,300,1,0,0,1,1,1,1,1,0,2,1,1,0,1,0,0,0,0,1,1,1,0,1,1
0,A,1,280,0,0,1,1,1,1,1,1,1,2,0,1,0,0,0,0,0,1,1,1,0,0,1,1
0,A,0,301,0,1,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,1
1,A,0,304,1,0,0,1,1,1,0,1,1,2,0,1,1,1,0,0,0,0,0,1,1,0,1,1
